DominioScuola;StatoDominio;Output;Google_Or_Microsoft
liceopagano.gov.it                                        ;Corretto;;NON USA
itcbesta.gov.it                                           ;Corretto;;NON USA
comprensivo5colettitv.gov.it                              ;Corretto;;NON USA
Non Disponibile;ND;ND;ND
Non Disponibile;ND;ND;ND
istitutocomprensivosantateresagallura.gov.it              ;Corretto;;NON USA
Non Disponibile;ND;ND;ND
icfabrizia.gov.it                                         ;Corretto;;NON USA
Non Disponibile;ND;ND;ND
ics.caprarola.it                                          ;Corretto;;NON USA
ictvb.it                                                  ;Corretto;;NON USA
Non Disponibile;ND;ND;ND
comprensivofalconecascina.it                              ;Corretto;;NON USA
istcomprensivocapodrise.it                                    ;Corretto;;NON USA
cigna-baruffi-garelli.edu.it                              ;Corretto;;NON USA
Non Disponibile;ND;ND;ND
scuolegelagaccio.it                                       ;Corretto;;NON USA
icbagolino.gov.it                                         ;Corretto;;NON USA
icbagnacavallo.gov.it                                   ;Corretto;;NON USA
icsalessandrinicesanob.it                                 ;Corretto;;NON USA
icvillafrancadasti.edu.it                                 ;Corretto;;NON USA
istitutocomprensivonovi2.it                                   ;Corretto;;NON USA
aldomoroseriate.gov.it                                    ;Corretto;;NON USA
icmantova1.gov.it                                         ;Corretto;;NON USA
Non Disponibile;ND;ND;ND
icdonmilanikr.it                                          ;Corretto;;NON USA
icsondriocentro.gov.it                                    ;Corretto;;NON USA
vergagela.gov.it                                          ;Corretto;;NON USA
Non Disponibile;ND;ND;ND
icsanluca-bovalino.gov.it                                 ;Corretto;;NON USA
ipssarmargherita.gov.it                                   ;Corretto;;NON USA
iismarconiguarasci.gov.it                          ;Corretto;;NON USA
scuolasturzo.gov.it                                       ;Corretto;;NON USA
icsannilo.gov.it                                          ;Corretto;;NON USA
icsangiovannibianco.gov.it                                ;Corretto;;NON USA
icsangiulio.gov.it                                        ;Corretto;;NON USA
istitutocomprensivoserre.gov.it                           ;Corretto;;NON USA
pietrodomina.gov.it                                       ;Corretto;;NON USA
ict1aormina.it                                          ;Corretto;;NON USA
iclucatelli.gov.it                                            ;Corretto;;NON USA
istitutocomprensivolattedolce-agro.it                     ;Corretto;;NON USA
iticarate.gov.it                                          ;Corretto;;NON USA
icsfogazzarotrissino.it                                   ;Corretto;;NON USA
cittadellascuola.gov.it                                   ;Corretto;;NON USA
icvialeangelicuneo.it                                     ;Corretto;;NON USA
cdpavullo.villaggioscuola.edu.it                          ;Corretto;;NON USA
icspadrepinopuglisi.edu.it                                ;Corretto;;NON USA
iisgaribaldimacerata.gov.it                               ;Corretto;;NON USA
icgiuliolusi.gov.it                                       ;Corretto;;NON USA
istitutomontalcino.com                                    ;Corretto;;NON USA
